customer_id,signup_date,plan,region,acq_channel,contract_type,age,age_flag
CUST02802,2025-02-24,Standard,East,Social,Annual,49.0,
CUST02850,2023-11-10,Enterprise,Central,Organic,Monthly,25.0,
CUST01756,2024-04-12,Basic,East,Paid Search,Monthly,49.0,
CUST02313,2023-12-08,Standard,North,Referral,Annual,67.0,
CUST00657,2023-06-22,Standard,South,Paid Search,Annual,23.0,
CUST00758,2024-02-11,Basic,East,Referral,Annual,38.0,
CUST00345,2025-01-08,Standard,West,Organic,Annual,20.0,
CUST00295,2023-03-22,Standard,South,Paid Search,Monthly,23.0,
CUST02599,2023-12-08,Basic,West,Social,Monthly,43.0,
CUST00590,2024-12-26,Standard,,Paid Search,Monthly,33.0,
CUST00598,2024-10-31,Basic,West,Organic,Monthly,31.0,
CUST02293,2023-12-29,Premium,East,Paid Search,Monthly,43.0,
CUST00817,2023-06-29,Standard,North,Referral,Monthly,39.0,
CUST02410,2023-02-11,Basic,South,Referral,Monthly,49.0,
CUST00785,2024-06-13,Enterprise,Central,Partner,Monthly,64.0,
CUST01407,2024-11-14,Standard,East,Organic,Monthly,57.0,
CUST00436,2024-02-11,Enterprise,East,Organic,Monthly,46.0,
CUST02072,2023-03-22,Premium,South,Social,Monthly,,
CUST01294,2025-01-05,Standard,West,Social,Monthly,32.0,
CUST01316,2023-03-20,Basic,,Referral,Annual,19.0,
CUST01766,2023-07-28,Enterprise,North,Paid Search,Monthly,26.0,
CUST00957,2023-07-09,Basic,Central,Referral,Monthly,57.0,
CUST02613,2023-01-25,Standard,South,Organic,Monthly,18.0,
CUST01383,2023-12-09,Basic,South,Paid Search,Monthly,31.0,
CUST02345,2024-03-05,Enterprise,North,Partner,Monthly,44.0,
CUST02675,2024-10-08,Basic,East,Organic,Monthly,39.0,
CUST02692,2024-03-09,Basic,Central,Organic,Monthly,57.0,
CUST02398,2023-09-27,Premium,South,Organic,Annual,53.0,
CUST01366,2023-04-15,Premium,North,Paid Search,Monthly,25.0,
CUST02038,2025-01-29,Standard,Central,Social,Annual,42.0,
CUST02617,2025-01-13,Standard,South,Paid Search,Monthly,44.0,
CUST02663,2024-10-10,Standard,North,Organic,Monthly,50.0,
CUST00459,2024-04-03,Standard,East,Social,Annual,56.0,
CUST02234,2025-02-19,Standard,Central,Paid Search,Monthly,72.0,
CUST00856,2023-08-23,Basic,East,Paid Search,Monthly,51.0,
CUST01363,2023-02-17,Premium,Central,Organic,Monthly,62.0,
CUST02411,2023-08-18,Premium,South,Organic,Monthly,59.0,
CUST02284,2023-07-06,Standard,East,Social,Monthly,49.0,
CUST00335,2023-03-17,Basic,West,Social,Monthly,57.0,
CUST02317,2024-08-12,Basic,Central,Social,Annual,45.0,
CUST02868,2023-07-18,Basic,East,Social,Monthly,62.0,
CUST00736,2024-10-19,Standard,Central,Organic,Monthly,38.0,
CUST00504,2024-11-29,Premium,North,Organic,Annual,47.0,
CUST01311,2023-07-07,Basic,East,Organic,Monthly,25.0,
CUST02553,2023-03-03,Basic,North,Organic,Monthly,48.0,
CUST02381,2023-12-16,Premium,North,Paid Search,Annual,25.0,
CUST01598,2023-04-10,Basic,North,Paid Search,Monthly,66.0,
CUST02245,2023-01-07,Enterprise,Central,Referral,Annual,71.0,
CUST01499,2024-06-08,Standard,West,Paid Search,Monthly,41.0,
CUST02940,2025-02-22,Premium,South,Social,Monthly,38.0,
CUST01210,2023-07-09,Standard,North,Organic,Annual,35.0,
CUST02989,2023-01-18,Premium,East,Social,Annual,44.0,
CUST01402,2024-05-12,Basic,South,Organic,Monthly,21.0,
CUST00534,2023-07-03,Basic,Central,Referral,Monthly,50.0,
CUST02937,2023-02-07,Premium,East,Paid Search,Annual,47.0,
CUST02235,2024-02-18,Standard,West,Organic,Annual,28.0,
CUST00316,2024-03-19,Standard,North,Social,Monthly,37.0,
CUST00566,2023-08-08,Enterprise,East,Organic,Annual,20.0,
CUST02309,2024-12-21,Basic,Central,Social,Monthly,25.0,
CUST02821,2023-12-30,Basic,East,Referral,Monthly,71.0,
CUST00554,2024-04-22,Basic,North,Paid Search,Annual,31.0,
CUST02885,2023-07-20,Premium,South,Organic,Monthly,,NEGATIVE_AGE
CUST00498,2024-10-04,Standard,West,Organic,Annual,67.0,
CUST01437,2023-06-27,Standard,West,Social,Monthly,68.0,
CUST00368,2025-01-24,Basic,East,Referral,Annual,29.0,
CUST00781,2023-05-02,Standard,West,Social,Annual,48.0,
CUST01723,2023-06-20,Standard,South,Organic,Annual,21.0,
CUST00197,2024-02-29,Standard,West,Referral,Annual,35.0,
CUST01031,2024-02-20,Premium,North,Paid Search,Monthly,68.0,
CUST01659,2023-05-12,Premium,West,Organic,Monthly,42.0,
CUST00788,2024-08-19,Premium,South,Referral,Monthly,28.0,
CUST01237,2023-05-18,Basic,West,Paid Search,Monthly,61.0,
CUST01288,2023-11-24,Standard,South,Organic,Annual,70.0,
CUST02707,2024-09-06,Premium,North,Referral,Monthly,59.0,
CUST00529,2023-09-02,Basic,North,Partner,Monthly,57.0,
CUST00243,2023-12-24,Basic,South,Organic,Monthly,30.0,
CUST02717,2025-01-28,Basic,Central,Paid Search,Monthly,28.0,
CUST01919,2024-04-08,Standard,East,Partner,Monthly,49.0,
CUST01054,2023-10-03,Standard,Central,Referral,Monthly,20.0,
CUST00103,2023-12-25,Basic,,Social,Annual,66.0,
CUST02135,2023-08-10,Basic,Central,Organic,Monthly,18.0,
CUST00605,2024-01-15,Premium,East,Organic,Monthly,46.0,
CUST02876,2023-02-07,Basic,Central,Paid Search,Annual,59.0,
CUST00635,2024-06-09,Basic,North,Paid Search,Monthly,29.0,
CUST02458,2024-11-28,Standard,South,Organic,Annual,32.0,
CUST02180,2024-03-09,Enterprise,Central,Organic,Annual,66.0,
CUST01825,2024-03-06,Standard,South,Referral,Monthly,31.0,
CUST00267,2025-02-05,Premium,South,Paid Search,Monthly,69.0,
CUST02315,2024-09-16,Standard,South,Social,Annual,45.0,
CUST00506,2023-07-27,Enterprise,South,Social,Monthly,35.0,
CUST02139,2024-06-18,Basic,North,Social,Annual,28.0,
CUST01633,2024-12-14,Enterprise,Central,Paid Search,Monthly,66.0,
CUST01033,2024-07-15,Basic,West,Paid Search,Monthly,70.0,
CUST02304,2023-11-03,Standard,Central,Organic,Monthly,54.0,
CUST01102,2024-05-04,Enterprise,North,Organic,Monthly,68.0,
CUST02096,2023-06-12,Standard,Central,Social,Annual,20.0,
CUST02881,2024-02-26,Premium,North,Organic,Monthly,54.0,
CUST02391,2024-10-20,Enterprise,Central,Organic,Annual,33.0,
CUST02088,2024-02-23,Basic,East,Organic,Monthly,43.0,
CUST01933,2023-01-01,Basic,South,Paid Search,Monthly,72.0,
CUST01929,2023-10-23,Basic,North,Paid Search,Annual,47.0,
CUST01959,2024-12-01,Standard,West,Paid Search,Annual,47.0,
CUST02516,2023-03-27,Basic,West,Organic,Annual,44.0,
CUST00843,2023-09-18,Standard,North,Paid Search,Monthly,41.0,
CUST01543,2024-09-11,Premium,North,Paid Search,Monthly,21.0,
CUST00171,2023-10-22,Enterprise,North,Paid Search,Monthly,58.0,
CUST02298,2024-05-30,Standard,East,Organic,Monthly,38.0,
CUST01930,2024-11-28,Basic,East,Referral,Annual,37.0,
CUST01300,2024-02-12,Standard,West,Social,Annual,34.0,
CUST01299,2024-10-24,Standard,,Paid Search,Annual,62.0,
CUST02389,2024-11-12,Basic,,Referral,Annual,42.0,
CUST02657,2024-01-04,Standard,Central,Paid Search,Monthly,22.0,
CUST02210,2023-12-20,Enterprise,Central,Organic,Annual,71.0,
CUST02036,2024-09-28,Basic,East,Organic,Annual,55.0,
CUST00092,2023-08-25,Basic,South,Social,Monthly,44.0,
CUST01770,2024-12-21,Basic,North,Referral,Monthly,21.0,
CUST01819,2024-08-07,Basic,North,Referral,Annual,30.0,
CUST01597,2023-01-10,Basic,North,Referral,Annual,20.0,
CUST02654,2023-02-04,Basic,Central,Social,Monthly,23.0,
CUST02806,2023-12-04,Basic,East,Organic,Monthly,34.0,
CUST00499,2023-04-06,Standard,East,Referral,Annual,47.0,
CUST01109,2023-07-27,Standard,West,Paid Search,Annual,,
CUST02658,2024-03-11,Basic,West,Organic,Monthly,30.0,
CUST01775,2024-10-22,Standard,East,Organic,Monthly,59.0,
CUST00186,2024-07-06,Premium,East,Paid Search,Annual,,
CUST02740,2024-06-02,Basic,North,Organic,Annual,35.0,
CUST01321,2024-08-05,Basic,North,Social,Monthly,69.0,
CUST01923,2023-05-26,Basic,North,Organic,Annual,45.0,
CUST02645,2023-10-09,Standard,West,Social,Monthly,64.0,
CUST01326,2024-09-09,Basic,North,Social,Monthly,49.0,
CUST01310,2024-04-11,Standard,West,Organic,Monthly,32.0,
CUST00950,2023-04-09,Standard,West,Partner,Annual,39.0,
CUST00136,2023-10-06,Basic,Central,Organic,Monthly,46.0,
CUST02437,2023-12-01,Basic,North,Social,Monthly,41.0,
CUST02282,2024-05-09,Standard,East,Organic,Monthly,39.0,
CUST01665,2023-04-23,Standard,West,Organic,Monthly,41.0,
CUST01148,2024-10-25,Standard,North,Referral,Annual,26.0,
CUST00001,2024-10-16,Basic,,Organic,Monthly,24.0,
CUST01374,2024-01-06,Enterprise,West,Organic,Monthly,69.0,
CUST00360,2024-02-21,Standard,West,Paid Search,Monthly,36.0,
CUST02977,2024-09-04,Premium,Central,Partner,Monthly,57.0,
CUST02865,2023-09-08,Premium,Central,Social,Monthly,51.0,
CUST02987,2023-08-22,Standard,South,Paid Search,Annual,41.0,
CUST01411,2023-03-29,Basic,Central,Paid Search,Annual,54.0,
CUST00823,2023-01-10,Premium,East,Organic,Monthly,61.0,
CUST02425,2024-02-10,Basic,West,Paid Search,Annual,37.0,
CUST02278,2023-04-13,Standard,South,Referral,Monthly,18.0,
CUST01098,2024-01-29,Standard,East,Referral,Annual,58.0,
CUST00158,2023-05-29,Basic,Central,Paid Search,Annual,22.0,
CUST01677,2024-02-21,Premium,North,Referral,Monthly,33.0,
CUST01348,2024-02-06,Basic,North,Organic,Annual,45.0,
CUST00942,2024-01-31,Basic,West,Paid Search,Annual,38.0,
CUST01185,2025-12-02,Enterprise,South,Organic,Monthly,53.0,
CUST01280,2023-04-03,Enterprise,South,Organic,Annual,28.0,
CUST00853,2023-08-04,Basic,North,Organic,Annual,48.0,
CUST02755,2025-01-03,Standard,East,Social,Annual,33.0,
CUST01500,2024-05-24,Basic,West,Organic,Monthly,34.0,
CUST02650,2023-08-17,Basic,Central,Social,Monthly,46.0,
CUST02301,2024-01-20,Basic,North,Referral,Monthly,41.0,
CUST01325,2023-05-04,Basic,West,Social,Annual,61.0,
CUST02999,2024-11-14,Premium,West,Referral,Annual,42.0,
CUST00140,2023-06-02,Enterprise,South,Organic,Monthly,37.0,
CUST01460,2023-04-02,Basic,North,Social,Monthly,69.0,
CUST02138,2024-02-07,Basic,West,Social,Monthly,71.0,
CUST01078,2024-06-16,Basic,South,Paid Search,Monthly,18.0,
CUST02220,2023-11-22,Basic,South,Organic,Monthly,22.0,
CUST01045,2024-03-01,Basic,East,Social,Monthly,62.0,
CUST02275,2024-06-19,Basic,South,Organic,Monthly,55.0,
CUST01504,2023-11-06,Premium,East,Organic,Monthly,26.0,
CUST00389,2023-01-04,Premium,East,Paid Search,Annual,45.0,
CUST00392,2025-02-23,Enterprise,North,Organic,Monthly,56.0,
CUST00940,2023-10-05,Basic,North,Organic,Annual,60.0,
CUST02340,2024-01-09,Premium,North,Social,Monthly,31.0,
CUST00135,2023-04-12,Enterprise,South,Referral,Monthly,23.0,
CUST02191,2025-02-25,Basic,East,Paid Search,Annual,57.0,
CUST01274,2024-01-19,Standard,North,Paid Search,Monthly,61.0,
CUST01793,2024-06-12,Enterprise,Central,Referral,Annual,39.0,
CUST01795,2023-10-02,Premium,West,Organic,Annual,56.0,
CUST02124,2023-04-08,Enterprise,South,Organic,Annual,48.0,
CUST02331,2024-06-03,Basic,East,Paid Search,Annual,19.0,
CUST00010,2023-08-27,Premium,West,Organic,Monthly,41.0,
CUST02831,2025-02-25,Basic,North,Organic,Monthly,69.0,
CUST01421,2023-05-04,Basic,South,Social,Monthly,49.0,
CUST01254,2024-10-29,Premium,Central,Social,Monthly,52.0,
CUST01199,2023-04-15,Basic,Central,Organic,Monthly,53.0,
CUST02412,2023-08-10,Basic,East,Organic,Monthly,57.0,
CUST01852,2023-04-24,Standard,Central,Organic,Monthly,34.0,
CUST00073,2024-07-05,Standard,South,Paid Search,Monthly,60.0,
CUST00530,2024-09-15,Basic,South,Organic,Annual,62.0,
CUST00343,2024-08-20,Basic,North,Referral,Monthly,59.0,
CUST02855,2023-09-06,Standard,East,Paid Search,Monthly,45.0,
CUST01844,2024-12-28,Premium,Central,Organic,Monthly,43.0,
CUST01215,2024-12-25,Standard,Central,Organic,Annual,24.0,
CUST00899,2024-02-02,Standard,Central,Referral,Monthly,21.0,
CUST02969,2024-09-28,Basic,Central,Social,Monthly,20.0,
CUST01032,2023-06-11,Standard,West,Referral,Monthly,33.0,
CUST02586,2023-08-27,Enterprise,South,Paid Search,Monthly,66.0,
CUST00007,2023-12-19,Standard,North,Social,Monthly,42.0,
CUST01610,2024-08-08,Premium,Central,Organic,Monthly,23.0,
CUST01222,2024-11-21,Standard,,Paid Search,Monthly,61.0,
CUST02616,2024-04-12,Premium,Central,Organic,Annual,41.0,
CUST02718,2023-08-30,Basic,South,Referral,Monthly,67.0,
CUST02174,2023-11-07,Enterprise,East,Organic,Monthly,66.0,
CUST00458,2024-04-04,Enterprise,West,Referral,Monthly,62.0,
CUST02162,2023-09-10,Basic,South,Social,Annual,37.0,
CUST01056,2023-03-23,Basic,Central,Partner,Annual,67.0,
CUST02833,2024-08-07,Enterprise,,Social,Monthly,54.0,
CUST02084,2025-02-12,Premium,West,Partner,Monthly,60.0,
CUST02181,2023-05-23,Basic,East,Social,Monthly,23.0,
CUST00889,2024-02-01,Premium,East,Social,Monthly,46.0,
CUST02551,2024-02-06,Basic,Central,Organic,Monthly,56.0,
CUST00025,2023-06-15,Standard,Central,Partner,Monthly,49.0,
CUST00190,2023-04-03,Premium,North,Organic,Monthly,41.0,
CUST00453,2024-01-21,Basic,West,Paid Search,Annual,30.0,
CUST02049,2023-03-25,Standard,Central,Partner,Monthly,58.0,
CUST02572,2023-01-26,Basic,West,Organic,Monthly,27.0,
CUST02906,2023-01-25,Premium,North,Organic,Monthly,65.0,
CUST00626,2025-02-16,Standard,East,Social,Monthly,28.0,
CUST00755,2023-04-28,Basic,Central,Social,Annual,53.0,
CUST01936,2023-08-13,Basic,East,Organic,Annual,42.0,
CUST02779,2023-02-07,Basic,Central,Social,Monthly,46.0,
CUST02287,2025-02-20,Basic,East,Paid Search,Monthly,51.0,
CUST00620,2023-10-10,Standard,,Referral,Annual,20.0,
CUST00947,2024-02-01,Premium,North,Partner,Annual,32.0,
CUST02569,2024-10-23,Basic,Central,Referral,Monthly,21.0,
CUST02265,2023-06-23,Premium,West,Organic,Annual,18.0,
CUST02032,2023-12-25,Basic,Central,Paid Search,Monthly,33.0,
CUST00465,2024-12-08,Standard,East,Partner,Monthly,36.0,
CUST01898,2023-08-13,Enterprise,West,Partner,Annual,50.0,
CUST01361,2023-02-02,Premium,East,Paid Search,Monthly,25.0,
CUST00057,2024-06-01,Standard,North,Organic,Monthly,35.0,
CUST02588,2024-11-16,Premium,West,Referral,Monthly,55.0,
CUST02897,2024-06-30,Enterprise,North,Referral,Monthly,59.0,
CUST00816,2024-09-12,Enterprise,West,Partner,Monthly,34.0,
CUST02843,2024-05-19,Standard,North,Paid Search,Monthly,42.0,
CUST01324,2024-02-02,Premium,East,Referral,Annual,,
CUST02349,2024-08-07,Basic,South,Paid Search,Annual,27.0,
CUST01026,2024-12-16,Standard,West,Paid Search,Monthly,67.0,
CUST02107,2025-01-15,Basic,East,Social,Annual,46.0,
CUST00546,2024-01-21,Premium,East,Organic,Monthly,33.0,
CUST01228,2024-05-11,Standard,South,Social,Monthly,34.0,
CUST01934,2024-05-29,Standard,Central,Organic,Monthly,35.0,
CUST01295,2024-12-31,Basic,East,Organic,Monthly,26.0,
CUST00024,2023-11-02,Premium,Central,Referral,Monthly,66.0,
CUST02295,2023-05-24,Enterprise,East,Organic,Annual,31.0,
CUST02151,2023-05-15,Basic,North,Organic,Monthly,21.0,
CUST01555,2023-05-17,Basic,East,Partner,Annual,22.0,
CUST00878,2024-04-16,Premium,North,Paid Search,Annual,48.0,
CUST01113,2024-10-09,Standard,South,Organic,Monthly,18.0,
CUST00238,2024-02-19,Premium,West,Organic,Monthly,38.0,
CUST01269,2023-05-24,Basic,Central,Social,Annual,51.0,
CUST00989,2023-11-03,Premium,Central,Organic,Monthly,25.0,
CUST02986,2024-10-19,Standard,South,Paid Search,Annual,64.0,
CUST02896,2024-08-18,Basic,South,Partner,Monthly,62.0,
CUST02557,2023-12-16,Premium,South,Paid Search,Annual,22.0,
CUST00042,2024-02-15,Enterprise,South,Paid Search,Annual,34.0,
CUST02030,2024-07-20,Premium,North,Partner,Annual,34.0,
CUST00457,2023-05-09,Basic,South,Social,Annual,22.0,
CUST00973,2023-07-26,Premium,North,Organic,Annual,63.0,
CUST01720,2023-06-07,Basic,South,Paid Search,Annual,66.0,
CUST00164,2025-01-02,Standard,West,Paid Search,Annual,70.0,
CUST00207,2023-02-23,Basic,West,Paid Search,Annual,48.0,
