ticket_id,customer_id,created_date,category,priority,resolved,orphan_flag
TKT002202,CUST01442,2025-01-18,Technical,Medium,Yes,False
TKT003853,CUST02487,2024-08-24,Feature Request,High,Yes,False
TKT004370,CUST02858,2025-05-14,Feature Request,Medium,Yes,False
TKT001495,CUST01004,2024-01-15,Technical,High,Yes,False
TKT000823,CUST00545,2023-10-31,Feature Request,Low,Yes,False
TKT004333,CUST02832,2024-03-25,Technical,Medium,Yes,False
TKT001557,CUST01033,2024-09-21,Billing,Medium,Yes,False
TKT004396,CUST02870,2025-03-08,Other,Low,Yes,False
TKT003036,CUST01983,2024-08-05,Account,Medium,Yes,False
TKT000211,CUST00148,2025-03-11,Feature Request,Medium,Yes,False
TKT001203,CUST00791,2025-01-09,Billing,High,Yes,False
TKT003828,CUST02471,2024-07-30,Technical,Medium,No,False
TKT002859,CUST01860,2024-12-06,Feature Request,Medium,Yes,False
TKT003666,CUST02374,2025-04-18,Other,Critical,Yes,False
TKT001824,CUST01201,2025-05-16,Other,High,Yes,False
TKT003008,CUST01966,2023-06-24,Technical,Low,No,False
TKT001749,CUST01156,2024-09-13,Billing,Low,Yes,False
TKT002050,CUST01353,2025-02-17,Other,Low,Yes,False
TKT002406,CUST01575,2024-10-19,Other,Medium,Yes,False
TKT003621,CUST02351,2023-11-18,Feature Request,Medium,Yes,False
TKT004046,CUST02614,2025-04-13,Other,High,No,False
TKT002963,CUST01932,2024-09-18,Billing,Low,Yes,False
TKT000815,CUST00540,2024-11-28,Other,Low,No,False
TKT002903,CUST01887,2025-03-12,Feature Request,Medium,Yes,False
TKT001779,CUST01172,2025-05-03,Feature Request,Low,No,False
TKT001933,CUST01274,2025-03-17,Account,Medium,Yes,False
TKT003929,CUST02524,2025-01-07,Technical,Medium,Yes,False
TKT001424,CUST00950,2024-10-05,Other,Medium,Yes,False
TKT003974,CUST02571,2025-01-02,Feature Request,High,Yes,False
TKT002172,CUST01431,2024-11-29,Feature Request,High,Yes,False
TKT001791,CUST01189,2025-01-15,Billing,Low,Yes,False
TKT003234,CUST02119,2024-08-29,Billing,High,Yes,False
TKT000695,CUST00447,2025-01-19,Other,Medium,Yes,False
TKT002273,CUST01486,2024-11-12,Technical,Medium,Yes,False
TKT000504,CUST00342,2024-07-30,Technical,Low,Yes,False
TKT003236,CUST02119,2023-09-15,Feature Request,Medium,No,False
TKT001698,CUST01124,2023-11-18,Account,Critical,Yes,False
TKT002656,CUST01730,2024-03-18,Technical,High,No,False
TKT001462,CUST00981,2023-05-25,Other,Medium,Yes,False
TKT002226,CUST01455,2024-07-16,Other,Medium,No,False
TKT004042,CUST02611,2025-01-05,Account,Low,Yes,False
TKT003843,CUST02479,2025-05-15,Account,Medium,Yes,False
TKT001247,CUST00827,2023-09-19,Technical,Medium,No,False
TKT002794,CUST01827,2023-12-28,Account,Medium,Yes,False
TKT001006,CUST00646,2024-07-20,Billing,Medium,Yes,False
TKT004490,CUST02942,2024-03-23,Technical,Critical,Yes,False
TKT003757,CUST02438,2024-08-27,Technical,Low,No,False
TKT002652,CUST01729,2025-04-01,Account,Low,Yes,False
TKT001949,CUST01287,2025-05-02,Account,Low,Yes,False
TKT000529,CUST00359,2025-01-10,Technical,Low,Yes,False
TKT000026,CUST00024,2025-03-27,Other,Low,Yes,False
TKT001144,CUST00752,2024-04-28,Account,Medium,Yes,False
TKT001364,CUST00913,2023-12-28,Account,Medium,No,False
TKT004064,CUST02628,2024-09-13,Account,High,No,False
TKT000559,CUST00375,2025-05-26,Technical,Low,Yes,False
TKT002678,CUST01751,2024-10-18,Other,Medium,Yes,False
TKT002264,CUST01482,2024-07-11,Billing,High,Yes,False
TKT003795,CUST02458,2024-12-17,Other,Low,Yes,False
TKT003967,CUST02557,2024-07-10,Account,High,Yes,False
TKT001107,CUST00726,2025-04-24,Other,Low,Yes,False
TKT002222,CUST01453,2024-10-31,Other,Low,Yes,False
TKT004100,CUST02653,2023-06-14,Other,Low,No,False
TKT003049,CUST01989,2023-07-31,Feature Request,Low,Yes,False
TKT000058,CUST00045,2024-05-14,Other,Low,Yes,False
TKT001359,CUST00910,2025-03-31,Technical,Low,Yes,False
TKT002037,CUST01348,2025-02-18,Feature Request,Low,No,False
TKT002214,CUST01450,2025-03-21,Account,Medium,Yes,False
TKT003103,CUST02032,2024-05-21,Other,Low,No,False
TKT000805,CUST00529,2025-05-28,Feature Request,Low,Yes,False
TKT003035,CUST01982,2025-05-10,Technical,Medium,No,False
TKT000453,CUST00303,2024-12-28,Other,Low,Yes,False
TKT003004,CUST01964,2023-12-20,Other,Low,Yes,False
TKT002164,CUST01427,2023-09-21,Account,High,Yes,False
TKT001558,CUST01035,2025-04-12,Billing,Medium,No,False
TKT003038,CUST01983,2024-07-22,Technical,High,Yes,False
TKT000657,CUST00424,2024-04-25,Billing,Medium,Yes,False
TKT001662,CUST01108,2024-12-23,Account,Medium,Yes,False
TKT002270,CUST01486,2025-01-27,Other,Critical,Yes,False
TKT003533,CUST02286,2024-06-12,Billing,High,Yes,False
TKT000469,CUST00313,2025-03-10,Other,High,Yes,False
TKT001384,CUST00925,2025-03-07,Account,Medium,Yes,False
TKT003547,CUST02295,2023-07-26,Other,High,No,False
TKT002917,CUST01901,2025-02-23,Account,High,Yes,False
TKT001064,CUST00696,2025-03-19,Technical,Low,Yes,False
TKT002030,CUST01342,2024-11-01,Other,Medium,Yes,False
TKT002230,CUST01458,2024-03-19,Technical,Low,Yes,False
TKT003254,CUST02129,2024-09-05,Account,High,Yes,False
TKT004510,CUST02951,2024-10-17,Feature Request,High,No,False
TKT000787,CUST00515,2023-09-11,Technical,Medium,Yes,False
TKT004109,CUST02659,2024-09-20,Account,Medium,Yes,False
TKT003961,CUST02554,2025-01-23,Other,Low,Yes,False
TKT003752,CUST02433,2025-05-02,Other,Medium,Yes,False
TKT002111,CUST01398,2025-01-03,Technical,High,Yes,False
TKT002228,CUST01458,2024-08-04,Account,Low,Yes,False
TKT000096,CUST00064,2024-02-14,Feature Request,Low,Yes,False
TKT000487,CUST00329,2024-09-05,Feature Request,Medium,Yes,False
TKT003088,CUST02021,2024-04-18,Feature Request,Medium,Yes,False
TKT004315,CUST02825,2025-05-22,Other,Low,Yes,False
TKT002669,CUST01742,2023-10-01,Account,High,Yes,False
TKT001173,CUST00778,2024-02-17,Feature Request,Medium,No,False
TKT000581,CUST00382,2024-12-15,Technical,Low,Yes,False
TKT003025,CUST01976,2025-02-02,Billing,Low,Yes,False
TKT000779,CUST00511,2024-12-06,Feature Request,Medium,No,False
TKT003178,CUST02079,2025-02-08,Account,Medium,Yes,False
TKT002238,CUST01462,2024-01-29,Account,Medium,No,False
TKT000840,CUST00552,2025-03-24,Technical,Medium,Yes,False
TKT000364,CUST00234,2025-03-13,Account,Low,Yes,False
TKT001627,CUST01082,2024-09-11,Billing,Low,Yes,False
TKT001029,CUST00667,2023-08-29,Other,Medium,No,False
TKT001298,CUST00865,2024-03-08,Account,Medium,Yes,False
TKT002991,CUST01952,2025-03-29,Other,High,Yes,False
TKT002607,CUST01702,2024-10-27,Account,Medium,Yes,False
TKT003476,CUST02259,2024-11-14,Account,High,No,False
TKT003131,CUST02055,2025-03-26,Technical,Low,Yes,False
TKT001692,CUST01118,2024-11-14,Technical,High,Yes,False
TKT001695,CUST01121,2025-05-15,Billing,Low,Yes,False
TKT000978,CUST00628,2024-12-18,Billing,Medium,Yes,False
TKT003794,CUST02458,2025-05-02,Technical,Low,Yes,False
TKT003994,CUST02583,2025-01-24,Feature Request,Medium,Yes,False
TKT000708,CUST00464,2025-04-01,Other,Low,No,False
TKT001736,CUST01151,2024-05-06,Technical,Low,Yes,False
TKT001509,CUST01009,2024-06-15,Feature Request,High,Yes,False
TKT004191,CUST02725,2024-06-22,Other,Medium,No,False
TKT000235,CUST00162,2025-04-14,Billing,Low,Yes,False
TKT004416,CUST02886,2025-01-01,Account,Low,Yes,False
TKT003833,CUST02474,2025-02-20,Billing,Medium,Yes,False
TKT001846,CUST01210,2024-06-24,Technical,Medium,Yes,False
TKT000228,CUST00159,2024-07-27,Technical,Low,Yes,False
TKT002447,CUST01607,2024-06-20,Other,Medium,Yes,False
TKT000116,CUST00084,2024-12-22,Other,Medium,Yes,False
TKT001285,CUST00862,2025-04-10,Other,Medium,No,False
TKT002433,CUST01595,2025-01-20,Billing,Medium,No,False
TKT002456,CUST01613,2025-03-23,Feature Request,Low,Yes,False
TKT000186,CUST00126,2025-05-06,Technical,High,Yes,False
TKT003950,CUST02547,2024-03-10,Feature Request,Low,No,False
TKT001485,CUST00999,2025-01-23,Account,Medium,Yes,False
TKT002013,CUST01332,2024-01-28,Billing,Medium,Yes,False
TKT003334,CUST02182,2024-09-21,Account,Medium,No,False
TKT004334,CUST02832,2023-05-22,Other,Medium,Yes,False
TKT001597,CUST01063,2025-05-11,Technical,High,Yes,False
TKT003925,CUST02520,2024-11-25,Billing,Medium,Yes,False
TKT000454,CUST00303,2024-11-26,Billing,High,Yes,False
TKT000627,CUST00402,2024-12-25,Feature Request,Medium,No,False
TKT002331,CUST01529,2024-02-15,Account,Medium,Yes,False
TKT002292,CUST01496,2024-11-03,Technical,Medium,Yes,False
TKT002140,CUST01417,2024-10-14,Account,Low,Yes,False
TKT001202,CUST00790,2024-10-14,Account,Medium,Yes,False
TKT002911,CUST01896,2024-09-01,Billing,Medium,Yes,False
TKT002415,CUST01583,2023-12-27,Billing,Medium,No,False
TKT002006,CUST01331,2024-07-24,Other,High,Yes,False
TKT001484,CUST00997,2023-12-25,Feature Request,Low,Yes,False
TKT003846,CUST02481,2024-10-06,Other,Medium,Yes,False
TKT004018,CUST02602,2025-03-05,Other,Medium,Yes,False
TKT001061,CUST00694,2023-03-15,Account,Low,No,False
TKT001446,CUST00963,2024-10-03,Technical,Medium,No,False
TKT002182,CUST01435,2024-11-11,Feature Request,High,Yes,False
TKT003996,CUST02583,2024-11-27,Other,Critical,Yes,False
TKT001705,CUST01126,2024-06-19,Technical,Low,Yes,False
TKT004051,CUST02617,2025-04-13,Technical,Low,Yes,False
TKT000534,CUST00360,2025-02-02,Other,High,Yes,False
TKT002123,CUST01406,2025-05-26,Feature Request,Low,Yes,False
TKT002839,CUST01850,2025-03-20,Technical,Medium,Yes,False
TKT003780,CUST02453,2024-11-18,Billing,Low,Yes,False
TKT001328,CUST00885,2025-04-12,Other,Low,Yes,False
TKT001382,CUST00925,2025-05-06,Other,Low,Yes,False
TKT004321,CUST02827,2025-04-14,Feature Request,Medium,Yes,False
TKT001456,CUST00974,2023-09-02,Other,Low,Yes,False
TKT002741,CUST01794,2024-08-10,Account,Medium,Yes,False
TKT001850,CUST01213,2025-04-24,Other,Low,Yes,False
TKT003880,CUST02496,2024-09-07,Technical,Medium,Yes,False
TKT001489,CUST01000,2025-01-31,Other,Medium,Yes,False
TKT003312,CUST02172,2025-04-19,Technical,Low,Yes,False
TKT002411,CUST01579,2025-02-20,Feature Request,Medium,No,False
TKT001184,CUST00781,2023-12-04,Billing,Low,Yes,False
TKT002429,CUST01595,2025-05-11,Other,High,Yes,False
TKT003225,CUST02113,2025-02-26,Feature Request,High,Yes,False
TKT003259,CUST02132,2025-02-10,Billing,Low,Yes,False
TKT004613,CUST98430,2023-05-21,Technical,Medium,Yes,True
TKT002487,CUST01638,2025-04-02,Other,High,Yes,False
TKT001919,CUST01269,2024-01-02,Billing,High,Yes,False
TKT000446,CUST00300,2023-09-06,Technical,Medium,Yes,False
TKT001621,CUST01080,2025-02-22,Other,Medium,Yes,False
TKT004001,CUST02586,2024-05-26,Billing,Critical,Yes,False
TKT000143,CUST00102,2024-12-27,Account,Medium,Yes,False
TKT004048,CUST02615,2024-08-30,Other,Medium,No,False
TKT000236,CUST00162,2025-03-04,Account,Low,No,False
TKT001371,CUST00916,2024-04-03,Billing,High,Yes,False
TKT003823,CUST02466,2024-03-25,Other,Critical,Yes,False
TKT003758,CUST02438,2023-04-04,Billing,High,Yes,False
TKT003085,CUST02016,2025-05-19,Billing,Low,No,False
TKT003679,CUST02388,2025-04-11,Other,High,No,False
TKT000907,CUST00590,2025-02-19,Technical,Medium,No,False
TKT001785,CUST01180,2025-04-15,Billing,Low,Yes,False
TKT003270,CUST02138,2024-12-28,Other,Low,Yes,False
TKT001822,CUST01200,2025-05-14,Other,High,Yes,False
TKT002812,CUST01836,2024-03-23,Other,Medium,Yes,False
TKT004141,CUST02698,2024-06-03,Technical,Medium,Yes,False
TKT000717,CUST00473,2024-10-31,Other,Medium,Yes,False
TKT003639,CUST02361,2025-02-26,Feature Request,Medium,Yes,False
TKT000910,CUST00590,2025-04-12,Technical,Medium,No,False
TKT003265,CUST02137,2025-03-02,Billing,Medium,No,False
TKT001989,CUST01318,2024-09-19,Billing,Medium,Yes,False
TKT004345,CUST02840,2023-11-11,Other,Low,Yes,False
TKT002418,CUST01586,2025-03-23,Account,Medium,Yes,False
TKT002175,CUST01432,2025-05-30,Feature Request,Low,Yes,False
TKT000366,CUST00235,2025-05-21,Other,Medium,Yes,False
TKT002542,CUST01670,2024-12-16,Account,Low,Yes,False
TKT001353,CUST00903,2024-09-27,Account,Low,No,False
TKT001054,CUST00691,2024-09-07,Feature Request,High,No,False
TKT001658,CUST01102,2025-02-02,Billing,Low,Yes,False
TKT002233,CUST01462,2024-03-22,Billing,Medium,Yes,False
TKT000226,CUST00158,2024-09-30,Technical,High,Yes,False
TKT002388,CUST01561,2024-10-05,Other,Critical,Yes,False
TKT000810,CUST00539,2024-07-12,Account,Critical,Yes,False
TKT000280,CUST00188,2024-04-29,Account,Low,Yes,False
TKT003862,CUST02489,2023-06-17,Account,Critical,Yes,False
TKT002318,CUST01513,2025-02-24,Billing,Low,No,False
TKT001844,CUST01210,2023-11-10,Feature Request,Low,Yes,False
TKT003971,CUST02563,2024-10-03,Account,Critical,Yes,False
TKT000342,CUST00226,2025-01-05,Billing,Medium,Yes,False
TKT001656,CUST01100,2024-03-11,Feature Request,High,Yes,False
TKT002341,CUST01535,2024-11-01,Technical,High,Yes,False
TKT000276,CUST00187,2023-09-26,Other,Medium,No,False
TKT000524,CUST00357,2023-09-15,Other,Medium,Yes,False
TKT000167,CUST00114,2024-11-23,Feature Request,High,Yes,False
TKT000132,CUST00097,2023-10-12,Other,Medium,Yes,False
TKT003218,CUST02111,2023-08-04,Technical,Low,Yes,False
TKT000289,CUST00197,2024-08-27,Technical,Medium,Yes,False
TKT001972,CUST01312,2025-02-04,Account,Low,Yes,False
TKT002444,CUST01604,2023-11-20,Other,High,Yes,False
TKT003879,CUST02496,2024-09-21,Technical,Medium,Yes,False
TKT003419,CUST02229,2024-11-17,Technical,Low,Yes,False
TKT000654,CUST00423,2025-01-12,Feature Request,Low,Yes,False
TKT003617,CUST02347,2024-05-01,Feature Request,Low,No,False
TKT000765,CUST00503,2024-12-02,Other,High,No,False
TKT000999,CUST00641,2024-10-04,Feature Request,Medium,Yes,False
TKT003554,CUST02301,2024-01-25,Technical,High,Yes,False
TKT000205,CUST00146,2024-10-07,Technical,High,No,False
TKT000375,CUST00247,2024-07-27,Account,Medium,Yes,False
TKT001497,CUST01004,2024-10-03,Feature Request,High,Yes,False
TKT003068,CUST02001,2025-04-03,Account,Medium,No,False
TKT000663,CUST00425,2024-09-21,Feature Request,Low,Yes,False
TKT000636,CUST00405,2025-05-13,Feature Request,Low,Yes,False
TKT002586,CUST01692,2024-10-02,Billing,Low,No,False
TKT000858,CUST00563,2025-04-01,Other,Medium,Yes,False
TKT002441,CUST01603,2024-10-20,Technical,Medium,Yes,False
TKT002019,CUST01336,2025-01-25,Account,Low,Yes,False
TKT000421,CUST00286,2025-02-15,Other,High,Yes,False
TKT002113,CUST01400,2024-11-27,Other,High,Yes,False
TKT002620,CUST01706,2025-03-03,Technical,Low,Yes,False
TKT003243,CUST02123,2025-03-09,Account,Medium,No,False
TKT002709,CUST01777,2024-05-05,Feature Request,High,No,False
TKT003628,CUST02354,2025-02-25,Feature Request,Low,Yes,False
TKT003643,CUST02364,2025-05-02,Feature Request,Critical,No,False
TKT000794,CUST00519,2024-12-31,Account,Low,No,False
TKT001758,CUST01162,2024-01-30,Account,Low,No,False
TKT003333,CUST02182,2025-02-13,Technical,Critical,Yes,False
TKT003538,CUST02287,2025-03-07,Billing,Medium,No,False
TKT001020,CUST00653,2023-08-14,Other,Medium,Yes,False
TKT002426,CUST01588,2024-12-19,Account,Medium,Yes,False
TKT002721,CUST01785,2025-04-01,Feature Request,Low,Yes,False
TKT001354,CUST00903,2025-03-25,Feature Request,Low,Yes,False
TKT000548,CUST00369,2025-05-21,Other,Low,Yes,False
TKT000542,CUST00364,2025-04-07,Technical,Medium,Yes,False
TKT003318,CUST02175,2024-07-14,Billing,Low,Yes,False
TKT004431,CUST02896,2025-01-02,Technical,Low,Yes,False
TKT003099,CUST02027,2024-09-29,Technical,Medium,Yes,False
TKT000387,CUST00257,2024-10-24,Technical,Low,Yes,False
TKT000406,CUST00276,2024-01-15,Account,High,Yes,False
TKT000247,CUST00165,2024-11-01,Other,Low,Yes,False
TKT000760,CUST00502,2023-09-13,Technical,High,Yes,False
TKT000142,CUST00101,2025-03-08,Billing,Low,Yes,False
TKT001976,CUST01315,2025-01-23,Technical,High,No,False
TKT003904,CUST02509,2025-02-27,Technical,High,Yes,False
TKT003818,CUST02465,2024-07-15,Technical,Low,Yes,False
TKT001122,CUST00737,2024-05-07,Technical,High,No,False
TKT003943,CUST02536,2025-03-14,Technical,High,No,False
TKT001874,CUST01228,2024-11-13,Billing,Medium,Yes,False
TKT001560,CUST01035,2024-09-15,Other,Low,Yes,False
TKT003483,CUST02262,2025-05-26,Technical,High,Yes,False
TKT002040,CUST01348,2024-02-16,Account,Medium,Yes,False
TKT001181,CUST00780,2025-05-16,Feature Request,High,Yes,False
TKT003835,CUST02475,2025-04-19,Billing,Critical,Yes,False
TKT000777,CUST00510,2024-09-08,Feature Request,Medium,No,False
TKT001158,CUST00761,2024-05-23,Technical,Critical,Yes,False
TKT001299,CUST00867,2024-03-08,Other,High,Yes,False
TKT002208,CUST01445,2024-02-09,Account,Medium,Yes,False
TKT003066,CUST02000,2023-10-01,Technical,High,Yes,False
TKT000591,CUST00386,2025-02-17,Feature Request,Critical,No,False
TKT000129,CUST00094,2025-05-22,Other,Medium,Yes,False
TKT003497,CUST02269,2025-03-31,Technical,Low,No,False
TKT000926,CUST00599,2024-05-24,Other,High,Yes,False
TKT001490,CUST01000,2024-10-15,Account,Medium,Yes,False
TKT003404,CUST02223,2025-03-17,Account,Critical,Yes,False
TKT001079,CUST00706,2024-12-24,Billing,Low,No,False
TKT002480,CUST01628,2025-03-20,Feature Request,Low,Yes,False
TKT004106,CUST02656,2024-04-23,Technical,Medium,No,False
TKT002438,CUST01601,2025-04-09,Account,Medium,No,False
TKT003185,CUST02086,2025-02-06,Feature Request,Medium,Yes,False
TKT000623,CUST00400,2023-11-04,Technical,Low,Yes,False
TKT000492,CUST00334,2023-07-06,Technical,Medium,Yes,False
TKT000753,CUST00499,2024-01-15,Other,Low,Yes,False
TKT001731,CUST01149,2025-04-19,Billing,Low,Yes,False
TKT001948,CUST01287,2024-10-22,Feature Request,Low,Yes,False
TKT001733,CUST01150,2024-10-15,Other,High,Yes,False
TKT003302,CUST02165,2024-06-28,Technical,Low,Yes,False
TKT003256,CUST02131,2025-01-11,Billing,Low,Yes,False
TKT002211,CUST01446,2024-12-01,Billing,Low,Yes,False
TKT001286,CUST00862,2025-01-31,Feature Request,Medium,Yes,False
TKT004391,CUST02869,2024-05-29,Other,Medium,Yes,False
TKT001076,CUST00701,2024-07-15,Feature Request,Critical,Yes,False
TKT003597,CUST02332,2025-03-29,Feature Request,Low,Yes,False
TKT000888,CUST00574,2025-05-03,Other,High,No,False
TKT001413,CUST00943,2024-07-02,Account,Low,Yes,False
TKT000345,CUST00228,2024-08-08,Technical,Low,Yes,False
TKT004402,CUST02876,2023-05-28,Account,Low,Yes,False
TKT000890,CUST00576,2025-05-24,Account,High,No,False
TKT001981,CUST01316,2023-06-09,Other,Medium,Yes,False
TKT001276,CUST00854,2025-01-23,Technical,High,Yes,False
TKT002240,CUST01467,2023-10-31,Account,Low,Yes,False
TKT000813,CUST00539,2024-04-30,Billing,High,Yes,False
TKT004034,CUST02608,2025-01-12,Other,Medium,Yes,False
TKT001583,CUST01048,2024-01-23,Technical,Low,Yes,False
TKT001910,CUST01264,2024-06-22,Feature Request,Medium,Yes,False
TKT001561,CUST01036,2025-01-05,Account,Medium,Yes,False
TKT002668,CUST01742,2025-04-16,Technical,Low,Yes,False
TKT004079,CUST02636,2025-02-08,Other,Low,Yes,False
TKT001343,CUST00895,2024-12-18,Account,Medium,Yes,False
TKT001576,CUST01044,2024-02-21,Billing,Medium,Yes,False
TKT003669,CUST02376,2025-05-19,Other,Medium,Yes,False
TKT003328,CUST02178,2025-03-02,Billing,High,Yes,False
TKT004405,CUST02877,2025-04-25,Account,Critical,No,False
TKT001087,CUST00708,2024-08-22,Technical,Medium,Yes,False
TKT001193,CUST00787,2025-02-06,Feature Request,Low,Yes,False
TKT001304,CUST00869,2024-10-14,Billing,Medium,No,False
TKT000729,CUST00483,2024-06-10,Account,High,Yes,False
TKT001177,CUST00780,2024-12-14,Technical,Critical,Yes,False
TKT001534,CUST01021,2024-10-31,Technical,Low,No,False
TKT000885,CUST00573,2024-03-24,Account,Low,No,False
TKT000758,CUST00500,2024-09-28,Technical,Medium,No,False
TKT003092,CUST02022,2024-08-04,Technical,Critical,Yes,False
TKT001219,CUST00807,2024-10-11,Billing,Low,Yes,False
TKT002079,CUST01374,2025-05-17,Billing,Low,Yes,False
TKT000764,CUST00503,2025-01-29,Billing,Medium,Yes,False
TKT000102,CUST00072,2025-02-21,Feature Request,Medium,Yes,False
TKT003161,CUST02070,2025-04-27,Other,Critical,No,False
TKT002900,CUST01882,2024-03-27,Technical,Medium,Yes,False
TKT003789,CUST02455,2024-07-13,Other,Low,Yes,False
TKT002622,CUST01709,2025-03-15,Other,Low,Yes,False
TKT004323,CUST02829,2023-07-11,Account,Medium,Yes,False
TKT003915,CUST02514,2024-12-17,Account,Low,Yes,False
TKT000577,CUST00381,2024-10-05,Billing,Medium,Yes,False
TKT002007,CUST01331,2025-05-21,Account,Low,Yes,False
TKT002185,CUST01435,2024-09-27,Other,Low,Yes,False
TKT001499,CUST01004,2024-11-05,Other,High,No,False
TKT003907,CUST02510,2025-02-25,Account,Low,Yes,False
TKT000845,CUST00553,2023-09-13,Technical,Low,Yes,False
TKT002907,CUST01894,2025-05-02,Other,Critical,Yes,False
TKT000681,CUST00439,2025-05-08,Technical,Low,Yes,False
TKT002995,CUST01954,2025-02-01,Billing,Low,No,False
TKT004352,CUST02843,2025-02-07,Feature Request,Low,Yes,False
TKT003426,CUST02231,2024-11-17,Account,Medium,No,False
TKT002997,CUST01958,2025-02-04,Feature Request,Low,Yes,False
TKT000021,CUST00017,2025-02-07,Feature Request,Low,Yes,False
TKT001134,CUST00745,2024-05-18,Billing,Critical,Yes,False
TKT003762,CUST02440,2024-12-26,Technical,Medium,Yes,False
TKT003021,CUST01974,2025-02-16,Account,Medium,Yes,False
